# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-3.554515327416628,0.0,0.3661775386648554,2.730915729146488,0.0,0.0
 0.06919377757633445,0.011969447138208108,0.1729844439408361,2.4999999999999996,-3.554515327416628,0.0,0.3661775386648554,2.730915729146488,0.0,0.0
 0.0977305168459425,0.02387813480743762,0.4173107360556922,8.561815342899614,-3.304028389646036,0.0,0.3664618266025026,2.7287971826999864,8.777700051994495,307.59295829369137
 0.11954337907632372,0.03572654870246407,0.5431847398056656,5.77063213532127,-3.054617635262339,0.0,0.3666714821715844,2.72723690993795,11.434114044708648,121.78200020968681
 0.1378624939873175,0.047515168121007874,0.6435146826591026,5.4767898635335435,-2.8063254344946347,0.0,0.366805130949261,2.726243216424164,13.553722544679148,115.70474393926447
 0.15394085349339434,0.05924446593568674,0.7295083687017798,5.348411696490292,-2.559194430758512,0.0,0.36686139860746886,2.725825076706888,15.370411617100562,112.98970344174691
 0.168421980237573,0.07091490856786355,0.8059070843274179,5.275743868228349,-2.313267535092119,0.0,0.36683891022802884,2.725992178360783,16.982580154907843,111.32894327130761
 0.18168869636105836,0.08252695596345214,0.8752766914965785,5.228845369379635,-2.0685879209308387,0.0,0.36673629034249916,2.726754963535484,18.44311824296418,110.0904002514097
 0.19399078490555177,0.09408106157068012,0.9391987031665259,5.196029230220406,-1.8251990190437992,0.0,0.3665521625171336,2.7281246770799163,19.784356209660324,109.02522460680098
 0.20550199251577833,0.10557767231988754,0.9987319435533272,5.171763241756839,-1.583144512659429,0.0,0.36628514886155106,2.7301134187615705,21.027724855672727,108.01374522233394
 0.2163490037928248,0.1170172286053693,1.0546274907715076,5.153082797697644,-1.3424683329596045,0.0,0.36593386978794207,2.7327341975190707,22.18824831584009,106.99015890424761
 0.22662759255598702,0.12840016426930617,1.1074414908720296,5.138254026642622,-1.1032146547258517,0.0,0.36549694314368675,2.7360009946974384,23.27689955757564,105.91446616068514
 0.23641227259837436,0.13972690658782017,1.1575996628859022,5.126194397424025,-0.8654278924384089,0.0,0.36497298394001365,2.739928827620727,24.30194561879878,104.76030455596229
 0.24576238626705635,0.15099787625919453,1.2054366471635782,5.116192805003536,-0.6291526965092291,0.0,0.3643606037048755,2.7445338212524732,25.269767224389852,103.50907378086427
 0.2547261175413931,0.16221348739427907,1.2512212595211227,5.107762711341665,-0.3944339499424478,0.0,0.3636584095006746,2.7498332882582357,26.18538411997944,102.14684795504733
 0.26334323420898004,0.17337414750911428,1.2951733793759326,5.100559914679437,-0.16131676540013073,0.0,0.3628650035673848,2.755845810890655,27.052805890302274,100.66264665832188
 0.2716470191405193,0.18448025751982414,1.3374756333737456,5.094334011125635,0.07015351754631059,0.0,0.36197898214909696,2.762591336278486,27.87527433029672,99.04741594047826
 0.2796656659225705,0.19553221173978705,1.3782817126577251,5.088898462932551,0.29993133460708854,0.0,0.3609989347845153,2.770091276299506,28.65543567464626,97.29339195933125
 0.2874233100353016,0.20653039787912272,1.4177224398946806,5.08411144721493,0.5279708986733395,0.0,0.3599234433347897,2.778368618433756,29.39546604000763,95.39369873218497
 0.2949408056180284,0.21747519704652898,1.4559102891333247,5.0798632095494085,0.7542262012583727,0.0,0.35875108089828617,2.7874480475322163,30.097164686721957,93.34207635939832
 0.30223632061914496,0.22836698375349648,1.4929428155929372,5.076067481726058,0.9786510135094435,0.0,0.35748041090547594,2.7973560774059236,30.76202464345869,91.13269681920654
 0.3093257997134535,0.23920612592091886,1.5289053008314981,5.072655516740557,1.2011988868556447,0.0,0.35610998555867696,2.8081212000589297,31.391287058715527,88.76003538285568
 0.3162233292394097,0.24999298488814028,1.5638728223821545,5.069571854541457,1.421823153046302,0.0,0.3546383450739971,2.819774042740203,31.98598358447348,86.21877202845448
 0.3229414283887746,0.2607279154244551,1.5979118940704655,5.066771259475825,1.6404769238225632,0.0,0.353064016174304,2.8323475465885783,32.54696989652679,83.50372621492895
 0.3294912840990489,0.27141126574310037,1.6310817812195575,5.06421646770948,1.8571130901563038,0.0,0.351385510584847,2.8458771630497717,33.074952474742204,80.60980295904885
 0.33588294241758704,0.2820433775177403,1.6634355662915943,5.0618765052253964,2.071684320762187,0.0,0.3496013239365454,2.8604010669636524,33.57051017316551,77.53194456374553
 0.34212546581714826,0.29262458590150175,1.6950210205868386,5.059725414479729,2.2841430603772896,0.0,0.3477099339523234,2.87596039789049,34.034111851312616,74.26510859049266
 0.34822706359418176,0.3031552195485658,1.7258813235283168,5.057741278462637,2.4944415272755367,0.0,0.34570979892906784,2.892599524508064,34.466130771486256,70.80422800069957
 0.35419520077964056,0.31363560063832474,1.7560556609345574,5.055905464063323,2.7025317103715882,0.0,0.34359935635115324,2.910366336594692,34.866856546638665,67.14419637148592
 0.36003668974268166,0.32406604490217006,1.7855797263058075,5.054202029319551,2.9083653657612647,0.0,0.3413770207600736,2.929312575795251,35.23650505752538,63.27984409890369
 0.3657577677386441,0.33444686165288984,1.8144861437033146,5.052617254634063,3.1118940125931065,0.0,0.3390411823230564,2.949494197572574,35.57522672745923,59.20591716681772
 0.37136416295422625,0.3447783538167328,1.8428048267321713,5.051139268624703,3.3130689284986325,0.0,0.33659020474587614,2.97097178081874,35.88311351051209,54.91706724440958
